id,hf_split,reference_text_raw,reference_text_alt_raw,pred_text_raw,reference_text_clean,pred_text_clean,latency_sec,detected_language,language_probability,sampling_rate,status
1989,test,dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas $5 dan $100 kanada yang baru,"Dia juga terlibat dalam pengukiran uang kertas untuk banyak negara, contoh karyanya yang terbaru termasuk potret Perdana Menteri di bagian depan uang kertas $5 dan $100 Kanada yang baru.","Dia juga terlibat dalam pengukiran uang kertas untuk banyak negara, contoh karyanya yang terbaru termasuk potret Perdana Menteri di bagian depan uang kertas 5 dolar dan 100 dolar Kanada yang baru.",dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dan 100 kanada yang baru,dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dolar dan 100 dolar kanada yang baru,0.56148362159729,id,1,16000,ok
1836,test,orang-orang telah mengenal unsur-unsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alat-alat primitif,"Orang-orang telah mengenal unsur-unsur kimia dasar seperti emas, perak, dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alat-alat primitif.","Orang-orang telah mengenal unsur-unsur kimia dasar seperti emas, perak, dan tembaga dari zaman kuno, karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif muda ditambang dengan alat-alat primitif.",orang orang telah mengenal unsur unsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alat alat primitif,orang orang telah mengenal unsur unsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif muda ditambang dengan alat alat primitif,0.4147660732269287,id,1,16000,ok
1769,test,dibangun oleh orang-orang mesir pada abad ketiga sm piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati firaun yang telah meninggal dunia,"Dibangun oleh orang-orang Mesir pada abad ketiga SM, Piramida Agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati Firaun yang telah meninggal dunia.","Dibangun oleh orang-orang Mesir pada abad ketiga sebelum Masehi, piramida Agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati Firaun yang telah meninggal dunia.",dibangun oleh orang orang mesir pada abad ketiga sm piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati firaun yang telah meninggal dunia,dibangun oleh orang orang mesir pada abad ketiga sebelum masehi piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati firaun yang telah meninggal dunia,0.5484685897827148,id,1,16000,ok
1822,test,sultan maroko membangun kembali kota tersebut menjadi daru i-badya kota tersebut kemudian dinamai casablanca oleh para pedagang spanyol yang mendirikan basis perdagangan di sana,Sultan Maroko membangun kembali kota tersebut menjadi Daru I-Badya. Kota tersebut kemudian dinamai Casablanca oleh para pedagang Spanyol yang mendirikan basis perdagangan di sana.,Sultan Marocco membangun kembali kota tersebut menjadi Daru ibadia. Kota tersebut kemudian dinamai kasa blangka oleh para pedagang Spanyol yang mendirikan basis perdagangan di sana.,sultan maroko membangun kembali kota tersebut menjadi daru i badya kota tersebut kemudian dinamai casablanca oleh para pedagang spanyol yang mendirikan basis perdagangan di sana,sultan marocco membangun kembali kota tersebut menjadi daru ibadia kota tersebut kemudian dinamai kasa blangka oleh para pedagang spanyol yang mendirikan basis perdagangan di sana,0.5208053588867188,id,1,16000,ok
1829,test,wisatawan yang bepergian ke negara-negara berpajak yang tinggi kadang-kadang bisa menghemat uang untuk produk-produk seperti minuman beralkohol dan tembakau,Wisatawan yang bepergian ke negara-negara berpajak yang tinggi kadang-kadang bisa menghemat uang untuk produk-produk seperti minuman beralkohol dan tembakau.,Wisatawan yang bepergian ke negara-negara berpajak yang tinggi kadang-kadang bisa menghemat uang untuk produk-produk seperti minuman beralkohol dan tembakau.,wisatawan yang bepergian ke negara negara berpajak yang tinggi kadang kadang bisa menghemat uang untuk produk produk seperti minuman beralkohol dan tembakau,wisatawan yang bepergian ke negara negara berpajak yang tinggi kadang kadang bisa menghemat uang untuk produk produk seperti minuman beralkohol dan tembakau,0.37616753578186035,id,1,16000,ok
1753,test,"""walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berperilaku terbaik bertindak seperti seseorang yang bien ã©levã© dibesarkan dengan baik. hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah. ","""Walaupun sering kali ini hanya stereotip yang tidak akurat, cara terbaik untuk tetap bergaul di Paris adalah dengan berperilaku terbaik, bertindak seperti seseorang yang ""bien Ã©levÃ©"" (dibesarkan dengan baik). Hal tersebut membuat perjalanan berkeliling Anda jauh lebih mudah. ""","Walaupun sering kali ini hanya stereotip yang tidak akurat, cara terbaik untuk letak berkaul di Paris adalah dengan berbelaku terbaik bertindak seperti seseorang yang biad atau lebat dibesarkan dengan baik. Al tersebut membuat perjalanan berkeliling Anda jauh lebih mudah.",walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berperilaku terbaik bertindak seperti seseorang yang bien lev dibesarkan dengan baik hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah,walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk letak berkaul di paris adalah dengan berbelaku terbaik bertindak seperti seseorang yang biad atau lebat dibesarkan dengan baik al tersebut membuat perjalanan berkeliling anda jauh lebih mudah,0.4988677501678467,id,1,16000,ok
1945,test,casablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko,Casablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh Maroko.,Kasablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh Maroko.,casablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko,kasablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko,0.3638889789581299,id,1,16000,ok
1820,test,orang-orang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,"Orang-orang sekarang menulis pesan di layar komputer, tidak pernah harus menggunakan rautan.","Orang-orang sekarang menulis pesan di layar komputer, tidak pernah harus menggunakan rautan.",orang orang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,orang orang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,0.4086902141571045,id,1,16000,ok
2005,test,namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus,"Namun, ada banyak hal tentang burung yang masih terlihat seperti dinosaurus.",Namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus.,namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus,namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus,0.37137365341186523,id,1,16000,ok
1804,test,institut keadilan dan demokrasi haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti,Institut Keadilan dan Demokrasi Haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian PBB Nepal secara tanpa sadar membawa penyakit itu ke Haiti.,Institut Keadilan dan Demokrasi Haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian PBB Nepal secara tanpa sadar membawa penyakit itu ke Haiti.,institut keadilan dan demokrasi haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti,institut keadilan dan demokrasi haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti,0.4094090461730957,id,1,16000,ok
1767,test,hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut,"Hal ini memberikan kesempatan yang baik untuk melihat Aurora borealis, karena langit akan lebih gelap pada sekitar waktu tersebut.","Hal ini memberikan kesempatan yang baik untuk melihat Aurora Borealis, karena langit akan lebih gelap pada sekitar waktu tersebut.",hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut,hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut,0.37315845489501953,id,1,16000,ok
1892,test,ini adalah tempat yang direbut oleh penjajah inggris sebagai milik mereka dan apabila anda sedang mencari bukti wilayah kolonial di masa lalu di sini adalah tempat yang tepat untuk memulai,"Ini adalah tempat yang direbut oleh penjajah Inggris sebagai milik mereka dan apabila Anda sedang mencari bukti wilayah kolonial di masa lalu, di sini adalah tempat yang tepat untuk memulai.","Ini adalah tempat yang direbut oleh penjajah Inggris sebagai milik mereka dan apabila Anda sedang mencari bukti wilayah kolonial di masa lalu, di sini adalah tempat yang tepat untuk memulai.",ini adalah tempat yang direbut oleh penjajah inggris sebagai milik mereka dan apabila anda sedang mencari bukti wilayah kolonial di masa lalu di sini adalah tempat yang tepat untuk memulai,ini adalah tempat yang direbut oleh penjajah inggris sebagai milik mereka dan apabila anda sedang mencari bukti wilayah kolonial di masa lalu di sini adalah tempat yang tepat untuk memulai,0.3818645477294922,id,1,16000,ok
1766,test,beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan,Beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan.,"Beberapa atom memiliki inti yang tidak stabil, yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan.",beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan,beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan,0.3603661060333252,id,1,16000,ok
1814,test,ion hidrogen adalah proton yang elektronnya dilucuti sebab atom hidrogen memiliki satu proton dan satu elektron,Ion hidrogen adalah proton yang elektronnya dilucuti (sebab atom Hidrogen memiliki satu proton dan satu elektron).,"Ion hidrogen adalah proton, yang elektronnya dilujuti sebab atom hidrogen memiliki satu proton dan satu elektron.",ion hidrogen adalah proton yang elektronnya dilucuti sebab atom hidrogen memiliki satu proton dan satu elektron,ion hidrogen adalah proton yang elektronnya dilujuti sebab atom hidrogen memiliki satu proton dan satu elektron,0.372056245803833,id,1,16000,ok
1687,test,segregasi dan rekombinasi mengocok variasi bolak-balik antara dua kolam dengan masing-masing generasi,Segregasi dan rekombinasi mengocok variasi bolak-balik antara dua kolam dengan masing-masing generasi.,Segregasi dan rekombinasi mengocok varian bolak-balik antara dua kolam dengan masing-masing generasi.,segregasi dan rekombinasi mengocok variasi bolak balik antara dua kolam dengan masing masing generasi,segregasi dan rekombinasi mengocok varian bolak balik antara dua kolam dengan masing masing generasi,0.5097508430480957,id,1,16000,ok
1794,test,peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat,"Peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama, sebagai masyarakat.",Peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat.,peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat,peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat,0.37566423416137695,id,1,16000,ok
1974,test,serupa halnya dengan itu pria diharuskan memakai celana panjang yang menutup lutut,"Serupa halnya dengan itu, pria diharuskan memakai celana panjang yang menutup lutut.","Serupa halnya dengan itu, pria diharuskan memakai celana panjang yang menutup pelutut.",serupa halnya dengan itu pria diharuskan memakai celana panjang yang menutup lutut,serupa halnya dengan itu pria diharuskan memakai celana panjang yang menutup pelutut,0.3539118766784668,id,1,16000,ok
1681,test,ini tidak sendirian eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu penelitian ilmiah,"Ini tidak sendirian, eksperimentasi, dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis, mengajukan pertanyaan, dan membuat pengamatan juga memandu penelitian ilmiah.","Ini tidak sendirian, eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis, mengajukan pertanyaan, dan membuat pengamatan juga memandu penelitian ilmiah.",ini tidak sendirian eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu penelitian ilmiah,ini tidak sendirian eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu penelitian ilmiah,0.4160003662109375,id,1,16000,ok
1887,test,saat ia bekerja di rumah sakit liggins mulai menyelidiki persalinan prematur selama waktu luangnya,"Saat ia bekerja di rumah sakit, Liggins mulai menyelidiki persalinan prematur selama waktu luangnya.","Saat ia bekerja di rumah sakit, Liggins mulai memiliki persalinan prematur selama waktu luangnya.",saat ia bekerja di rumah sakit liggins mulai menyelidiki persalinan prematur selama waktu luangnya,saat ia bekerja di rumah sakit liggins mulai memiliki persalinan prematur selama waktu luangnya,0.4731166362762451,id,1,16000,ok
1958,test,kota ini sangat kontras dengan kota-kota lain di negara tersebut sebab kota tersebut lebih bergaya arab ketimbang afrika,"Kota ini sangat kontras dengan kota-kota lain di negara tersebut, sebab kota tersebut lebih bergaya Arab ketimbang Afrika.","Kota ini sangat kontras dengan kota-kota lain di negara tersebut, sebab kota tersebut lebih bergaya Arab ketimbang Afrika.",kota ini sangat kontras dengan kota kota lain di negara tersebut sebab kota tersebut lebih bergaya arab ketimbang afrika,kota ini sangat kontras dengan kota kota lain di negara tersebut sebab kota tersebut lebih bergaya arab ketimbang afrika,0.49613165855407715,id,1,16000,ok
1668,test,mungkin juga akan menguntungkan bagi seseorang untuk membeli wild card yang memberikan akses masuk ke beberapa taman terpilih di afrika selatan atau semua taman nasional di afrika selatan,"Mungkin juga akan menguntungkan bagi seseorang untuk membeli Wild Card, yang memberikan akses masuk ke beberapa taman terpilih di Afrika Selatan atau semua taman nasional di Afrika Selatan.","Mungkin juga akan menguntungkan bagi seseorang untuk memberi Wildcard, yang memberikan akses masuk ke beberapa taman terpilih di Afrika Selatan atau semua taman nasional di Afrika Selatan.",mungkin juga akan menguntungkan bagi seseorang untuk membeli wild card yang memberikan akses masuk ke beberapa taman terpilih di afrika selatan atau semua taman nasional di afrika selatan,mungkin juga akan menguntungkan bagi seseorang untuk memberi wildcard yang memberikan akses masuk ke beberapa taman terpilih di afrika selatan atau semua taman nasional di afrika selatan,0.38240933418273926,id,1,16000,ok
1863,test,pusat meditasi warga tibet adalah dewa yoga melalui visualisasi berbagai dewa saluran energi dibersihkan cakra-cakra diaktifkan dan diciptakan kesadaran akan pencerahan,"Pusat meditasi warga Tibet adalah Dewa Yoga. Melalui visualisasi berbagai dewa saluran energi dibersihkan, cakra-cakra diaktifkan, dan diciptakan kesadaran akan pencerahan.","Pusat meditasi warga Tibet adalah dewa Yoga. Melalui visualisasi berbagai dewa, saluran energi dibersihkan, cakra-cakra diaktifkan dan diciptakan kesadaran akan pencerahan.",pusat meditasi warga tibet adalah dewa yoga melalui visualisasi berbagai dewa saluran energi dibersihkan cakra cakra diaktifkan dan diciptakan kesadaran akan pencerahan,pusat meditasi warga tibet adalah dewa yoga melalui visualisasi berbagai dewa saluran energi dibersihkan cakra cakra diaktifkan dan diciptakan kesadaran akan pencerahan,0.5384113788604736,id,1,16000,ok
1900,test,faktanya tempat ini tidak mudah untuk ditemukan bahkan ketika seseorang tahu bahwa tempat ini ada setelah berada di dalam gua kondisinya adalah isolasi total,"Faktanya, tempat ini tidak mudah untuk ditemukan bahkan ketika seseorang tahu bahwa tempat ini ada. Setelah berada di dalam gua, kondisinya adalah isolasi total.","Faktanya, tempat ini tidak mudah untuk ditemukan bahkan ketika seseorang tahu bahwa tempat ini ada setelah berada di dalam goa, kondisinya adalah isolasi total.",faktanya tempat ini tidak mudah untuk ditemukan bahkan ketika seseorang tahu bahwa tempat ini ada setelah berada di dalam gua kondisinya adalah isolasi total,faktanya tempat ini tidak mudah untuk ditemukan bahkan ketika seseorang tahu bahwa tempat ini ada setelah berada di dalam goa kondisinya adalah isolasi total,0.3716750144958496,id,1,16000,ok
1863,test,pusat meditasi warga tibet adalah dewa yoga melalui visualisasi berbagai dewa saluran energi dibersihkan cakra-cakra diaktifkan dan diciptakan kesadaran akan pencerahan,"Pusat meditasi warga Tibet adalah Dewa Yoga. Melalui visualisasi berbagai dewa saluran energi dibersihkan, cakra-cakra diaktifkan, dan diciptakan kesadaran akan pencerahan.","Pusat meditasi warga Tibet adalah dewa-yuga, melalui visualisasi berbagai dewa saluran energi dibersihkan, cakra-cakra diaktifkan, dan diciptakan kesadaran akan pencerahan.",pusat meditasi warga tibet adalah dewa yoga melalui visualisasi berbagai dewa saluran energi dibersihkan cakra cakra diaktifkan dan diciptakan kesadaran akan pencerahan,pusat meditasi warga tibet adalah dewa yuga melalui visualisasi berbagai dewa saluran energi dibersihkan cakra cakra diaktifkan dan diciptakan kesadaran akan pencerahan,0.3956871032714844,id,1,16000,ok
1715,test,pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,"Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.","Pemberitahuan reguler di metro hanya menggunakan bahasa Katalan, tetapi gangguan terencana diumumkan lewat sistem otomatis dalam beberapa bahasa antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.",pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan terencana diumumkan lewat sistem otomatis dalam beberapa bahasa antara lain spanyol inggris prancis arab dan jepang,0.39356136322021484,id,1,16000,ok
1969,test,disebutkan bahwa tempat paling efektif untuk subjek utama tersebut adalah pertemuan garis-garis yang memisahkan gambar menjadi sepertiga secara vertikal dan horizontal lihat contoh,Disebutkan bahwa tempat paling efektif untuk subjek utama tersebut adalah pertemuan garis-garis yang memisahkan gambar menjadi sepertiga secara vertikal dan horizontal (lihat contoh).,Disebutkan bahwa tempat paling efektif untuk subjek utama tersebut adalah pertemuan garis-garis yang memisahkan gambar menjadi sepertiga secara vertikal dan horizontal. Lihat contoh.,disebutkan bahwa tempat paling efektif untuk subjek utama tersebut adalah pertemuan garis garis yang memisahkan gambar menjadi sepertiga secara vertikal dan horizontal lihat contoh,disebutkan bahwa tempat paling efektif untuk subjek utama tersebut adalah pertemuan garis garis yang memisahkan gambar menjadi sepertiga secara vertikal dan horizontal lihat contoh,0.36956048011779785,id,1,16000,ok
1820,test,orang-orang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,"Orang-orang sekarang menulis pesan di layar komputer, tidak pernah harus menggunakan rautan.","Orang-orang sekarang menulis pesan di layar komputer, tidak pernah harus menggunakan rautan.",orang orang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,orang orang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,0.42124199867248535,id,1,16000,ok
1708,test,huhne telah mengundurkan diri dan posisinya di kabinet akan digantikan oleh ed davey mp norman lamb mp yang diharapkan untuk mengambil pekerjaan davey sebagai menteri usaha sedang berlibur,Huhne telah mengundurkan diri dan posisinya di Kabinet akan digantikan oleh Ed Davey MP. Norman Lamb MP yang diharapkan untuk mengambil pekerjaan Davey sebagai Menteri Usaha sedang berlibur.,"Huhne telah mengundurkan diri, dan posisinya di kabinet akan digantikan oleh Ed Devi, MP, Norman Lamb, MP, yang diharapkan untuk mengambil pekerjaan Devi sebagai menteri usaha sedang berlibur.",huhne telah mengundurkan diri dan posisinya di kabinet akan digantikan oleh ed davey mp norman lamb mp yang diharapkan untuk mengambil pekerjaan davey sebagai menteri usaha sedang berlibur,huhne telah mengundurkan diri dan posisinya di kabinet akan digantikan oleh ed devi mp norman lamb mp yang diharapkan untuk mengambil pekerjaan devi sebagai menteri usaha sedang berlibur,0.4021172523498535,id,1,16000,ok
1975,test,populasi kota vatikan sekitar 800 ini adalah negara merdeka terkecil di dunia dan negara dengan populasi terendah,Populasi Kota Vatikan sekitar 800. Ini adalah negara merdeka terkecil di dunia dan negara dengan populasi terendah.,Populasi Kota Vatikan sekitar 800. Ini adalah negara merdeka terkecil di dunia dan negara dengan populasi terendah.,populasi kota vatikan sekitar 800 ini adalah negara merdeka terkecil di dunia dan negara dengan populasi terendah,populasi kota vatikan sekitar 800 ini adalah negara merdeka terkecil di dunia dan negara dengan populasi terendah,0.3747689723968506,id,1,16000,ok
1791,test,jangan mencoreng situs dengan mencorat-coret atau menggoreskan grafiti di bangunan,Jangan mencoreng situs dengan mencorat-coret atau menggoreskan grafiti di bangunan.,Jangan mencoreng situs dengan mencora-coret atau menggoreskan grafiti di bangunan.,jangan mencoreng situs dengan mencorat coret atau menggoreskan grafiti di bangunan,jangan mencoreng situs dengan mencora coret atau menggoreskan grafiti di bangunan,0.3701348304748535,id,1,16000,ok
